molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,41000.0,4.39,Aktif Değil
CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,15000.0,4.82,Aktif Değil
CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,188000.0,3.73,Aktif Değil
CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,14000.0,4.85,Aktif Değil
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,4000.0,5.4,Aktif Değil
CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,213000.0,3.67,Aktif Değil
CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,17000.0,4.77,Aktif Değil
CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,23210.0,4.63,Aktif Değil
CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,67000.0,4.17,Aktif Değil
CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,21000.0,4.68,Aktif Değil
CHEMBL97064,NC(CO)C(=O)N1CCCC1,190000.0,3.72,Aktif Değil
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,4000.0,5.4,Aktif Değil
CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,122000.0,3.91,Aktif Değil
CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,39000.0,4.41,Aktif Değil
CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,190.0,6.72,Ara Bileşik
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,11.0,7.96,Aktif
CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,95.0,7.02,Ara Bileşik
CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,17000.0,4.77,Aktif Değil
